ID ,TEXT ,ANNOTATOR 1,ANNOTATOR 2
lyrics_test1,I need an easy friend,neg,ntr
lyrics_test2,"I do, with an ear to lend ",neg,ntr
lyrics_test3,I do think you fit this shoe,pos,ntr
lyrics_test4,"I do, but you have a clue ",ntr,ntr
lyrics_test5,I’ll take advantage while,pos,ntr
lyrics_test6,You hang me out to dry,neg,neg
lyrics_test7,But I can't see you every night,neg,neg
lyrics_test8,"Free (I do, I do) ",pos,pos
lyrics_test9,I'm standing in your line,ntr,ntr
lyrics_test10,I do hope you have the time,neg,ntr
lyrics_test11,I do pick a number too,ntr,ntr
lyrics_test12,I do keep a date with you,pos ,pos
lyrics_test13,"No, I can't see you every night",neg,neg
lyrics_test14,I do ,ntr ,ntr
lyrics_test1,What else should I be,neg,ntr
lyrics_test2,All apologies,neg ,ntr
lyrics_test3,What else could I say,ntr ,ntr
lyrics_test4,Everyone is gay,pos,pos
lyrics_test5,What else could I write,neg,ntr
lyrics_test6,I don't have the right,neg,ntr
lyrics_test7,What else should I be,neg,ntr
lyrics_test8,All apologies,neg,ntr
lyrics_test9,In the sun,pos ,pos
lyrics_test10,In the sun I feel as one,pos,pos
lyrics_test11,In the sun,pos ,pos
lyrics_test12,In the sun,pos ,pos
lyrics_test13,I'm married,ntr ,ntr
lyrics_test14,Buried,neg,neg
lyrics_test15,I wish I was like you,neg,neg
lyrics_test16,Easily amused,ntr ,ntr
lyrics_test17,Find my nest of salt,neg ,ntr
lyrics_test18,Everything is my fault,neg ,neg
lyrics_test19,I'll take all the blame,neg ,ntr
lyrics_test20,Aqua seafoam shame,neg ,ntr
lyrics_test21,Sunburn with freezeburn,ntr ,ntr
lyrics_test22,Choking on the ashes of her enemy,neg ,neg
lyrics_test23,In the sun,pos ,pos
lyrics_test24,In the sun I feel as one,pos ,pos
lyrics_test25,In the sun,pos ,pos
lyrics_test26,In the sun,pos ,pos
lyrics_test27,"Married, Married, Married",ntr ,ntr
lyrics_test30,Buried,neg ,neg
lyrics_test31,All in all is all we are...,ntr ,ntr
lyrics_test1,"Big cheese, make me. Mine says:"" Go to the office.""",ntr,ntr
lyrics_test2,"Big cheese, make me. Mine says:"" What'd I say""",ntr,ntr
lyrics_test3,Black is black. Shading back. Need more enemies.,neg ,ntr
lyrics_test4,Show you all what a man is.,ntr,ntr
lyrics_test5,"Big lies, make me. Mine says:"" Go to the office.""",neg ,neg
lyrics_test6,"Big cheese, make me. Mine says:"" What'd I say""",ntr,ntr
lyrics_test7,Black is black. Shading back. Need more enemies.,neg ,ntr
lyrics_test8,"Cheese glue, how are you",pos,ntr
lyrics_test9,"Big cheese, make me. Mine says:"" Go to the office.""",ntr,ntr
lyrics_test10,"Big cheese, make me. Mine says:"" What'd I lie""",neg ,ntr
lyrics_test11,Black is black. Shading back. Need more enemies.,neg ,ntr
lyrics_test12,"Cheese glue, how are you",pos,ntr
lyrics_test13,Black is black. Shading back. Need more enemies.,neg,ntr
lyrics_test14,"Show you all what a man is. Cheese glue, how are you",pos,ntr
lyrics_test15,You're enemies. Show you all what a man is.,neg ,neg
lyrics_test16,"[Almost inaudible] Ohhhhh, right.",neg,ntr
lyrics_test1,"If you wouldn't mind, I wouldn't like it blew.",ntr,ntr
lyrics_test2,"If you wouldn't mind, I wouldn't like it lose.",neg,ntr
lyrics_test3,"If you wouldn't care, I wouldn't like to leave.",neg,neg
lyrics_test4,"If you wouldn't mind, I wouldn't like to breathe.",neg,neg
lyrics_test5,Is there another reason for your staying,neg,neg
lyrics_test6,Could you believe him when you distrust his stain,neg,neg
lyrics_test7,Here is another word that rhymes with shame.,neg,neg
lyrics_test8,You could do anything.,pos,ntr
lyrics_test1,Butchered sincerity. Act out of loyalty.,neg ,neg
lyrics_test2,Defending free country. Wish away. Hey! Had a lobotomy.,neg ,neg
lyrics_test3,To save little family. Surrealistic fantasy. Bad boy. Fight!,neg ,neg
lyrics_test4,All we know id restitution. Living out your day of fusion.,ntr ,ntr
lyrics_test5,"If there's a hope, please show me faster. Don't feel guilty, pass a riot.",ntr ,ntr
lyrics_test6,Somebody said that they're not much like I am.,neg,neg
lyrics_test7,"I know I can't make it up. Althought if you go along, I'll sing your song.",ntr ,ntr
lyrics_test8,Sickening pessimists. Despicable masses.,neg,neg
lyrics_test9,Asseverated commumists. Apocalyptic bastards.,neg,neg
lyrics_test10,Rinkydink God. For putting me on this earth.,neg,neg
lyrics_test11,Being very privileged. Death in mind. Nurse!,neg,neg
lyrics_test12,All we know id restitution. Living out your day of fusion.,ntr ,ntr
lyrics_test13,"If there's a hope, please show me faster. Don't feel guilty, pass a riot.",ntr ,ntr
lyrics_test14,Somebody said that they're not much like I am.,neg,neg
lyrics_test15,"I know I can't make it up. Althought if you go along,",ntr ,ntr
lyrics_test16,I'll sing your song.,pos,ntr
lyrics_test17,Downer.,neg ,neg
lyrics_test1,I'm not like them but I can pretend,neg,neg
lyrics_test2,The sun is gone but I have a light,pos,ntr
lyrics_test3,The day is done but I'm having fun,pos,pos
lyrics_test4,I think I'm dumb or maybe I'm just happy,pos,pos
lyrics_test5,I think I'm just happy,pos,pos
lyrics_test6,My heart is broke but I have some glue,pos,neg
lyrics_test7,Help me inhale and mend it with you,neg,ntr
lyrics_test8,We'll float around and hang out on clouds,pos,ntr
lyrics_test9,Then we'll come down and have a hangover,neg,ntr
lyrics_test10,We'll have a hangover,neg,ntr
lyrics_test11,"Skin the sun, fall asleep",ntr,ntr
lyrics_test12,"Wish away, soul is cheap",ntr,ntr
lyrics_test13,"Lesson learned, wish me luck",pos,ntr
lyrics_test14,"Soothe the burn, wake me up",ntr,ntr
lyrics_test1,"Bell on door clanks, come on in.",ntr,ntr
lyrics_test2,Floyd observes my hairy chin.,ntr,ntr
lyrics_test3,Sit down chair don't be afraid.,pos,pos
lyrics_test4,Steamed hot towel on my face.,ntr,ntr
lyrics_test5,I was shaved [X3],ntr,ntr
lyrics_test6,Barney ties me to the chair.,neg,neg
lyrics_test7,I can't see I'm really scared.,neg,neg
lyrics_test8,"Floyd breaths hard I hear a zip,",neg,ntr
lyrics_test9,Pee-pee pressed against my lips.,neg,neg
lyrics_test10,I was shamed [X3],neg,neg
lyrics_test11,I sense others in the room opie aunt bee I presume.,ntr,ntr
lyrics_test12,They take turns and cut me up.,neg,neg
lyrics_test13,I died smothered in Andy's butt,neg,neg
lyrics_test14,I was shaved [X3],ntr ,ntr
lyrics_test1,It's so relieving to know that you're leaving as soon as you get paid,pos,pos
lyrics_test2,It's so relaxing to hear you're asking wherever you get your way,pos,pos
lyrics_test3,"I's so soothing to know that you'll sue me, this is starting to",pos ,pos
lyrics_test4,sound the same,nr,ntr
lyrics_test5,I miss the comfort in being sad,neg,neg
lyrics_test6,"In her false withness, we hope you're still with us, to see if they gloar",neg ,ntr
lyrics_test7,or drown,neg,neg
lyrics_test8,"Our favorite paitent, A display of patience, disease-covered Puget Sound",neg,neg
lyrics_test9,"She'll come back as fire, to burn all the liars, and leave a blanket of ash",neg,neg
lyrics_test10,on the ground I muss teh comfort in being sad,neg ,neg
lyrics_test1,She eyes me like a pisces when I am weak,neg,ntr
lyrics_test2,I've been locked inside your Heart-Shaped box for weeks,neg,neg
lyrics_test3,I've been drawn into your magnet tar pit trap,neg,ntr
lyrics_test4,I wish I could eat your cancer when you turn black,neg,pos
lyrics_test5,Hey,ntr,ntr
lyrics_test6,Wait,ntr,ntr
lyrics_test7,I've got a new complaint,neg,neg
lyrics_test8,Forever in debt to your priceless advice,neg,ntr
lyrics_test9,Meat-eating orchids forgive no one just yet,neg,ntr
lyrics_test10,Cut myself angel's hair and baby's breath,neg,ntr
lyrics_test11,Broken hymen of your highness I'm left black,neg,ntr
lyrics_test12,Throw down your umbilical noose so I can climb right back,neg,ntr
lyrics_test1,I am my own parasite,neg,neg
lyrics_test2,I don't need a host to live,ntr,ntr
lyrics_test3,We feed off of each other,neg,pos
lyrics_test4,We can share our endorphns,pos,pos
lyrics_test5,"Doll steak, test meat",ntr,ntr
lyrics_test6,I won my own pet virus,pos,ntr
lyrics_test7,I get to pet and name her,ntr,ntr
lyrics_test8,Her milk is my shit,neg ,ntr
lyrics_test9,My shit is her milk,neg ,ntr
lyrics_test10,"Doll steak, test meat",ntr,ntr
lyrics_test11,Look on the bright side is suicide,neg,neg
lyrics_test12,Lost eyesight I'm on your side,ntr,ntr
lyrics_test13,"Angel left wing, right wing, broken wing",neg,ntr
lyrics_test14,Lack of iron and/or sleeping,neg,neg
lyrics_test15,Protector of the kennel,pos ,ntr
lyrics_test16,Ecto-plasma,ntr ,ntr
lyrics_test17,Ecto-Skeletal,ntr ,ntr
lyrics_test18,Obituary birthday,neg,ntr
lyrics_test19,Your scent is still here in my place of recovery,pos ,ntr
lyrics_test1,Fill me in on your new vision,ntr,ntr
lyrics_test2,Wake me up with indecision,neg ,ntr
lyrics_test3,Help me trust your mighty wisdom,pos ,ntr
lyrics_test4,Yes i eat cow - i am not proud,neg ,neg
lyrics_test5,Show me how you question question,ntr ,ntr
lyrics_test6,Lead the way to my temptation,pos ,ntr
lyrics_test7,Take my hand and give it cleaning,pos ,ntr
lyrics_test8,Yes i eat cow - i am not proud,neg ,neg
lyrics_test9,Is he in his easychair,ntr,ntr
lyrics_test10,Poop as hard as a rock,ntr ,ntr
lyrics_test11,I don't like you anyway,neg ,neg
lyrics_test12,Seal it in a box,ntr ,ntr
lyrics_test13,All new,ntr ,ntr
lyrics_test14,Damn you,neg ,neg
lyrics_test1,This is out of our range [x3],neg ,ntr
lyrics_test2,And it's grown (gross).,neg ,ntr
lyrics_test3,This is getting to be [x3],ntr ,ntr
